sampleID,caption
sample000000000.jpg,"A narrow, rectangular, plain white background. No visual details or objects."
sample000000001.jpg,"The word ""Pixar"" against a gradient purple background, with animation studios below."
sample000000002.jpg,"Cloudy sky with several small airplanes flying, leaving smoke trails."
sample000000003.jpg,A whimsical painting of a giant with people on clouds and a hot air balloon.
sample000000004.jpg,"A person holding a small, fluffy kitten in their hands."
sample000000005.jpg,"A cute fox cub peeks through pink fog, with big curious eyes."
sample000000006.jpg,"A whimsical scene with a mouse, cat, and monkey floating on fluffy clouds."
sample000000007.jpg,A stork carries a baby in a blanket through fluffy clouds.
sample000000008.jpg,Anime characters standing on fluffy clouds in a serene sky setting.
sample000000009.jpg,A bear sitting on a cloud with a serene sky in the background.
sample0000000010.jpg,A fuzzy monster holds a purple object with green and yellow decorations.
sample0000000011.jpg,A fluffy cloud-like creature holding a small green plant in its hands.
sample0000000012.jpg,Whimsical scene of a bird perched on a giant Moomin's hand amidst fluffy clouds.
sample0000000013.jpg,"Animated bird stands proudly against a dreamy, pink-hued sky with fluffy clouds."
sample0000000014.jpg,"Abstract, surreal painting of a green creature interacting with a human."
sample0000000015.jpg,Animated character on a cloud with a butterfly and purple bird.
sample0000000016.jpg,Foggy sky with weird floating creatures and one holding a weapon.
sample0000000017.jpg,"A dramatic sky filled with fluffy, billowing clouds and a distant view of the sea."
sample0000000018.jpg,Girl flies on giant cat-clouds in sky.
sample0000000019.jpg,Animated clouds with a figure holding a dandelion and a person in yellow.
sample0000000020.jpg,Blurred image of a blue sky with fluffy white clouds.
sample0000000021.jpg,A bird floats near a giant cloud figure with a happy expression.
sample0000000022.jpg,A pelican holding a person in a flight suit above a landscape.
sample0000000023.jpg,"A fluffy white creature sits on clouds, holding a branch with a bird perched on it."
sample0000000024.jpg,"A rocket launching into clouds, ascending through a vibrant blue sky from a green landscape."
sample0000000025.jpg,A bird spreads wings in flight against a cloudy sky and mountain backdrop.
sample0000000026.jpg,A fluffy white creature holding a tiny orange creature in front of a cloudy sky.
sample0000000027.jpg,A large bird of prey carries a fish in its talons against a blue sky.
sample0000000028.jpg,Hand holding a dandelion against a sunset sky background.
sample0000000029.jpg,"Animated character in the clouds with a dramatic expression, gazing into the sky."
sample0000000030.jpg,"A pink unicorn sits on clouds in a warm, colorful sky with birds nearby."
sample0000000031.jpg,"A small, glowing figure stands before a person reaching out their hand."
sample0000000032.jpg,"A pink bear cloud flying with a bird in a colorful, dreamy sky."
sample0000000033.jpg,A bear on a cloud with sparkling lights and a sunset.
sample0000000034.jpg,Dramatic storm scene with a teddy bear riding a cloud and lightning striking below.
sample0000000035.jpg,"Pink clouds, orange sky, flying dragon with rider and small bird."
sample0000000036.jpg,"A rocket blasts off from a fiery cloud, with floating islands in a pastel sky."
sample0000000037.jpg,A fluffy bear peeking through clouds at sunset.
sample0000000038.jpg,"A person holding a large bird against a dramatic, fiery sky backdrop."
sample0000000039.jpg,A skeletal bird with blue wings soars through a sunset over mountains.
sample0000000040.jpg,"Anime girl standing on rocks, dramatic sky, and large animal silhouette."
sample0000000041.jpg,"Character in football gear on a bird, clouds and sunset in background."
sample0000000042.jpg,"Knight holding sword amidst fiery, rocky landscape with glowing embers."
sample0000000043.jpg,"Clouds in a sunset sky, with warm orange and pink hues."
sample0000000044.jpg,Clouds with blue text listing names and roles over a pink sky.
sample0000000045.jpg,A list of names with a blue cloud background.
sample0000000046.jpg,A movie credits list with a purple sky and clouds background.
sample0000000047.jpg,A pink sky with white clouds and black text listing names.
sample0000000048.jpg,A serene sunset scene. The sky is clear and slightly orange.
