   ,nom                         ,duree ,type ,ordre ,risk_time ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,color ,description2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,color2 ,Unnamed: 9 ,cluster ,class ,class_
 0 ,15_low1_1.mp4               ,22.67 , 1.0 ,  1.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a white car is coming in the opposite direction, and it is about to hit my car head-on. The elements involved are: my car, the white car, and the road."                                                                                                                                                                                                                                                                                                  ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a road. The road is surrounded by trees and mountains. The car is driving in a safe manner and there are no other cars in sight."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,   1.0 ,           ,      1 ,no    ,no
 1 ,15_low3_2.mp4               ,11.83 , 1.0 ,  2.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is as follows:
                                                                - I am driving on the left side of the road.
                                                                - A car is coming towards me on the wrong side of the road.
                                                                - The car is going very fast.
                                                                - I am going to crash into the car if I don't do anything.
                                                                - I brake and swerve to the right to avoid the car.
                                                                - The car passes in front of me and I narrowly avoid an accident."                                                                                                                                                                                                                                                                                                                                                                                                          ,      ," No, I cannot spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a road with other cars, but there are no situations that will end in an accident."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,   1.0 ,           ,      1 ,no    ,no
 2 ,5 - weekly 11.mp4           , 4.4  , 1.0 ,  3.0 ,3.5       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a truck is stopped on the side of the road, with its hazard lights on. A pedestrian is walking on the road, on the same side as the truck, and he is about to walk into the path of my car.
                                                                The elements involved are:
                                                                My car
                                                                The truck
                                                                The pedestrian"                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a truck stopped on the right side of the road, with its emergency lights on. There is a pedestrian crossing the road in front of the truck, from right to left. The pedestrian is not paying attention to the traffic and is walking slowly. The driver of the truck is not paying attention either and is not slowing down. The truck is going to hit the pedestrian.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved are the truck, the pedestrian, and the car."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,   1.0 ,           ,      0 ,no    ,pedestrian
 3 ,11 controls 6.mp4           ,11.58 , 1.0 ,  4.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a pedestrian is walking on the right side of the road, and I am driving on the left side of the road. The pedestrian is walking towards the middle of the road, and I am driving in the same direction as the pedestrian. There is a car coming from the opposite direction, and it is also driving in the same direction as the pedestrian. The pedestrian is not paying attention to the cars, and the cars are not paying attention to the pedestrian.
                                                                The accident is about to occur because the pedestrian is going to walk into the path of the oncoming car. The oncoming car is going to hit the pedestrian because the driver is not paying attention. I am going to hit the pedestrian because I am driving in the same direction as the pedestrian, and I am not paying attention.
                                                                The elements involved in the accident are: the pedestrian, the oncoming car, and my car."                                                                                                                                                                                                                                                                                                                                                                                   ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a person driving on a road with trees on either side. There are no other cars or people on the road."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,   1.0 ,           ,      1 ,no    ,no
 4 ,10 controls 7.mp4           ,15.19 , 1.0 ,  5.0 ,10.2      ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, I cannot spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a residential street with cars parked on both sides of the street. There are no other cars moving in the same trajectory as my car."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,   1.0 ,           ,      2 ,no    ,no
 5 ,1 weekly - 6.mp4            , 5.31 , 1.0 ,  6.0 ,3.7       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming in the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, there is no situation in the video that will end in an accident. The video shows a car driving on a rural road. The car is driving in the left lane and there are no other cars in the immediate vicinity. The road is straight and there are no obstacles in the way. The driver of the car is not in any danger of crashing."                                                                                                                                                                                                                                                                                                                                     ,       ,           ,      1 ,no    ,no
 6 ,2 compil - 1.mp4            , 8.55 , 1.0 ,  7.0 ,5.5       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street with no other cars in sight. The only other elements in the video are trees, houses, and the sun."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,       ,           ,      1 ,no    ,car
 7 ,6 - weekly 7.mp4            ,15.02 , 1.0 ,  8.0 ,1.4       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a cyclist is riding on the same road as me, on the opposite side of the road, and he is about to turn left. I am driving straight ahead, and I am not going to be able to stop in time to avoid hitting him.
                                                                The elements involved are: my car, the cyclist, and the road."                                                                                                                                                                                                                                                                                                                                                                                                              ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street with trees on either side. There are houses on the left and right. A cyclist is riding on the same road, in the same direction as the car, on the left side of the road. The cyclist is wearing a helmet and is riding in a safe manner. There are no other cars or cyclists in the immediate vicinity."                                                                                                                                                                                                                                                                                                                      ,   1.0 ,           ,      1 ,no    ,no
 8 ,10 controls 2.mp4           ,22.21 , 1.0 ,  9.0 ,10        ," Yes, there is a situation where an accident is about to occur.
                                                                The situation is: the car is driving on the left side of the road, and there is a bus coming towards the car on the same side of the road. The bus is very close to the car, and it appears that the bus is not going to stop.
                                                                The elements involved are: the car, the bus, and the road."                                                                                                                                                                                                                                                                                                                                                                                                                 ,      ," There is a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a car coming in the opposite direction, in the same lane as the camera's car. The two cars are on a collision course.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved are the camera's car, the oncoming car, and the bridge."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,       ,           ,      0 ,no    ,car
 9 ,15_low1_3.mp4               ,22.74 , 1.0 , 10.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is as follows:
                                                                I am driving on a two-lane road, with one lane for each direction. There is a car coming in the opposite direction, and it is about to hit my car head-on. The elements involved in the situation are:
                                                                My car
                                                                The other car
                                                                The road
                                                                The surrounding environment"                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ," No, I cannot spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a road with two lanes, one for each direction. The car is driving in the right lane and there are no other cars in the same lane. There are some cars in the opposite lane, but they are not in the same trajectory as the car."                                                                                                                                                                                                                                                                                                                                                                                                         ,   1.0 ,           ,      0 ,no    ,no
